policy_id,title,sector,region,year,target_group,status,funding_million_usd,stakeholders,impact_score,summary,goals,full_text,text_for_nlp
P1178,District Early Childhood Education Reform 4,Vocational,Uttar Pradesh,2022,All,Under Review,4.19,"Central Government, Donors",0.699,This policy aims to improve infrastructure in Vocational through public-private partnerships in Uttar Pradesh.,Increase reach by 24% in 2 years.,This policy aims to improve infrastructure in Vocational through public-private partnerships in Uttar Pradesh. Goals: Increase reach by 24% in 2 years.,"district early childhood education reform 4. this policy aims to improve infrastructure in vocational through public-private partnerships in uttar pradesh. goals: increase reach by 24% in 2 years.. stakeholders: central government, donors"
P1394,National Early Childhood Education Reform 78,Vocational,Tamil Nadu,2024,Students,Under Review,76.79,"Teachers' Unions, Community Leaders",0.468,This policy aims to improve digital access in Vocational through teacher training programs in Tamil Nadu.,Increase reach by 28% in 4 years.,This policy aims to improve digital access in Vocational through teacher training programs in Tamil Nadu. Goals: Increase reach by 28% in 4 years.,"national early childhood education reform 78. this policy aims to improve digital access in vocational through teacher training programs in tamil nadu. goals: increase reach by 28% in 4 years.. stakeholders: teachers' unions, community leaders"
P1185,National Vocational Education Reform 76,Vocational,West Bengal,2015,Disadvantaged Groups,Implemented,9.18,"Ministry of Education, Local NGOs",0.614,This policy aims to improve early childhood development in Vocational through teacher training programs in West Bengal.,Increase reach by 28% in 3 years.,This policy aims to improve early childhood development in Vocational through teacher training programs in West Bengal. Goals: Increase reach by 28% in 3 years.,"national vocational education reform 76. this policy aims to improve early childhood development in vocational through teacher training programs in west bengal. goals: increase reach by 28% in 3 years.. stakeholders: ministry of education, local ngos"
P1450,District Primary Education Reform 84,Vocational,Punjab,2018,All,Implemented,48.22,"Teachers' Unions, Community Leaders",0.548,This policy aims to improve digital access in Vocational through digital device distribution in Punjab.,Increase reach by 8% in 1 years.,This policy aims to improve digital access in Vocational through digital device distribution in Punjab. Goals: Increase reach by 8% in 1 years.,"district primary education reform 84. this policy aims to improve digital access in vocational through digital device distribution in punjab. goals: increase reach by 8% in 1 years.. stakeholders: teachers' unions, community leaders"
P1011,National Primary Education Reform 47,Higher Education,Uttar Pradesh,2015,Teachers,Proposed,3.79,"Ministry of Education, Local NGOs",0.97,This policy aims to improve early childhood development in Higher Education through teacher training programs in Uttar Pradesh.,Increase reach by 13% in 4 years.,This policy aims to improve early childhood development in Higher Education through teacher training programs in Uttar Pradesh. Goals: Increase reach by 13% in 4 years.,"national primary education reform 47. this policy aims to improve early childhood development in higher education through teacher training programs in uttar pradesh. goals: increase reach by 13% in 4 years.. stakeholders: ministry of education, local ngos"
P1381,State Vocational Education Reform 42,Vocational,Karnataka,2017,Urban Students,Implemented,0.14,"Teachers' Unions, Community Leaders",0.716,This policy aims to improve vocational skills in Vocational through teacher training programs in Karnataka.,Increase reach by 12% in 1 years.,This policy aims to improve vocational skills in Vocational through teacher training programs in Karnataka. Goals: Increase reach by 12% in 1 years.,"state vocational education reform 42. this policy aims to improve vocational skills in vocational through teacher training programs in karnataka. goals: increase reach by 12% in 1 years.. stakeholders: teachers' unions, community leaders"
P1104,State Higher Education Education Reform 87,Secondary,Gujarat,2024,Rural Students,Pilot,13.01,"Teachers' Unions, Community Leaders",0.959,This policy aims to improve digital access in Secondary through teacher training programs in Gujarat.,Increase reach by 28% in 5 years.,This policy aims to improve digital access in Secondary through teacher training programs in Gujarat. Goals: Increase reach by 28% in 5 years.,"state higher education education reform 87. this policy aims to improve digital access in secondary through teacher training programs in gujarat. goals: increase reach by 28% in 5 years.. stakeholders: teachers' unions, community leaders"
P1082,District Primary Education Reform 8,Vocational,West Bengal,2021,Disadvantaged Groups,Proposed,0.38,"Central Government, Donors",0.165,This policy aims to improve learning outcomes in Vocational through digital device distribution in West Bengal.,Increase reach by 14% in 1 years.,This policy aims to improve learning outcomes in Vocational through digital device distribution in West Bengal. Goals: Increase reach by 14% in 1 years.,"district primary education reform 8. this policy aims to improve learning outcomes in vocational through digital device distribution in west bengal. goals: increase reach by 14% in 1 years.. stakeholders: central government, donors"
P1039,District Primary Education Reform 11,Vocational,Tamil Nadu,2022,Teachers,Proposed,50.33,"State Education Department, Private Partners",0.505,This policy aims to improve teacher quality in Vocational through curriculum reform in Tamil Nadu.,Increase reach by 22% in 4 years.,This policy aims to improve teacher quality in Vocational through curriculum reform in Tamil Nadu. Goals: Increase reach by 22% in 4 years.,"district primary education reform 11. this policy aims to improve teacher quality in vocational through curriculum reform in tamil nadu. goals: increase reach by 22% in 4 years.. stakeholders: state education department, private partners"
P1315,National Higher Education Education Reform 29,Higher Education,Maharashtra,2024,Students,Pilot,0.35,"EdTech Companies, Universities",0.355,This policy aims to improve early childhood development in Higher Education through grants to schools in Maharashtra.,Increase reach by 16% in 4 years.,This policy aims to improve early childhood development in Higher Education through grants to schools in Maharashtra. Goals: Increase reach by 16% in 4 years.,"national higher education education reform 29. this policy aims to improve early childhood development in higher education through grants to schools in maharashtra. goals: increase reach by 16% in 4 years.. stakeholders: edtech companies, universities"
